CATEGORY,MESSAGE,FILE_NAME
1,"Dear Homeowner,

 

Interest Rates are at their lowest point in 40 years!



We help you find the best rate for your situation by

matching your needs with hundreds of lenders!



Home Improvement, Refinance, Second Mortgage,

Home Equity Loans, and More! Even with less than

perfect credit!



This service is 100% FREE to home owners and new

home buyers without any obligation. 



Just fill out a quick, simple form and jump-start

your future plans today!





Visit http://61.145.116.186/user0201/index.asp?Afft=QM10













To unsubscribe, please visit:



http://61.145.116.186/light/watch.asp




",00249.5f45607c1bffe89f60ba1ec9f878039a
1,"ATTENTION: This is a MUST for ALL Computer Users!!!



*NEW-Special Package Deal!*



Norton SystemWorks 2002 Software Suite -Professional Edition-



Includes Six - Yes 6! - Feature-Packed Utilities

ALL For 1 Special LOW Price!



This Software Will:

- Protect your computer from unwanted and hazardous viruses

- Help secure your private & valuable information

- Allow you to transfer files and send e-mails safely

- Backup your ALL your data quick and easily

- Improve your PC's performance w/superior integral diagnostics!



6 Feature-Packed Utilities...1 Great Price!

A $300+ Combined Retail Value!



YOURS for Only $29.99!  <Includes FREE Shipping!>



Don't fall prey to destructive viruses or hackers!

Protect  your computer and your valuable information!





So don't delay...get your copy TODAY!





http://euro.specialdiscounts4u.com/

++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

This email has been screened and filtered by our in house """"OPT-OUT"""" system in 

compliance with state laws. If you wish to ""OPT-OUT"" from this mailing as well 

as the lists of thousands  of other email providers please visit  



http://dvd.specialdiscounts4u.com/optoutd.html

++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++




",00373.ebe8670ac56b04125c25100a36ab0510
1,"This is a multi-part message in MIME format.



------=_NextPart_000_1CDC19_01C25366.4B57F3A0

Content-Type: text/plain;

	charset=""Windows-1252""

Content-Transfer-Encoding: quoted-printable



 We dare you...

 Try to find a better annuity!

=20

  - 5.40% Guaranteed for 6 Years=0A=

- 6 Year Surrender Charge=0A=

- 5% Agent

Commission up to age 80=09

Call today for more information!

 800-888-7641 ext. 103

- or -



Please fill out the form below for more information	=20

Name:	 	  =09

E-mail:	 	=20

Phone:	 	=20

City:	 	 State:	 	=20

 	    =09

=20

 PMG Financial Services

*5.40% for deposits of $100,000 and up, 5.25% interest for deposits

totalling $25,000-$99,999.	=20

We don't want anyone to receive our mailings who does not wish to

receive them. This is a professional communication sent to insurance

professionals. To be removed from this mailing list, DO NOT REPLY to

this message. Instead, go here: http://www.insuranceiq.com/optout

<http://www.insuranceiq.com/optout/>=20



Legal Notice <http://www.insiq.com/legal.htm>=20



------=_NextPart_000_1CDC19_01C25366.4B57F3A0

Content-Type: text/html;

	charset=""iso-8859-1""

Content-Transfer-Encoding: quoted-printable



<html>

<head>

<title>We Dare You to Find a Better Annuity</title>

<meta http-equiv=3D""Content-Type"" content=3D""text/html; =

charset=3Diso-8859-1"">

</head>

<body bgcolor=3D""#666666"" text=3D""#000000"">

<font face=3D""Arial, Helvetica, sans-serif"">=20

<table width=3D""550"" border=3D""1"" align=3D""center"" cellpadding=3D""0"" =

cellspacing=3D""0"" bordercolor=3D""#000000"" bgcolor=3D""#FFFFFF"">

  <tr>=20

    <td>

      <img src=3D""http://iiq.us/images/pmg/20020822-101.gif"" alt=3D""We =

dare you..."" width=3D""550"" height=3D""55""><br>

      <img src=3D""http://iiq.us/images/pmg/20020822-102.jpg"" alt=3D""Try =

to find a better annuity!"" width=3D""550"" height=3D""47""><br>

      <img src=3D""http://iiq.us/images/pmg/20020822-103.jpg"" =

width=3D""550"" height=3D""248"">=20

      <table width=3D""100%"" cellpadding=3D""2"" cellspacing=3D""2"" =

border=3D""0"" bgcolor=3D""#ffffff"">

        <tr>=20

          <td><img src=3D""http://iiq.us/images/pmg/20020822-201.gif"" =

width=3D""32"" height=3D""142""><img =

src=3D""http://iiq.us/images/pmg/20020822-202.gif"" alt=3D""- 5.40% =

Guaranteed for 6 Years&#10;- 6 Year Surrender Charge&#10;- 5% Agent =

Commission up to age 80"" width=3D""508"" height=3D""142""></td>

        </tr>

        <tr>=20

          <td align=3D""center"">

            <b><font size=3D""2"">Call today for more information!<br>

            <img src=3D""http://iiq.us/images/pmg/20020822-3.gif"" =

alt=3D""800-888-7641 ext. 103"" width=3D""535"" height=3D""115""><br>

            - or -</font></b><br>

            <table width=3D""95%"" border=3D""1"" cellpadding=3D""0"" =

cellspacing=3D""0"" bordercolor=3D""#000000"">

              <tr>=20

                <form method=3D""post"" =

action=3D""http://65.217.159.103/response/response.asp"">

                  <td>=20

                    <table width=3D""100%"" border=3D""0"" align=3D""center"" =

cellpadding=3D""2"" cellspacing=3D""0"" =

background=3D""http://iiq.us/images/pmg/20020822-5.gif"" =

bgcolor=3D""#ffffff"">

                      <tr>=20

                        <td colspan=3D""5"" align=3D""center""><b><font =

size=3D""2"">Please fill out the form below for more =

information</font></b></td>

                      </tr>

                      <tr>=20

                        <td width=3D""15%"" align=3D""right""><b><font =

size=3D""2"">Name:</font></b></td>

                        <td colspan=3D""3""><input type=3D""text"" =

name=3D""contactname"" size=3D""50""></td>

                        <td rowspan=3D""5"" valign=3D""middle"" =

align=3D""center""><img src=3D""http://iiq.us/images/q3.gif"" width=3D""43"" =

height=3D""50""></td>

                      </tr>

                      <tr>=20

                        <td width=3D""15%"" align=3D""right""><b><font =

size=3D""2"">E-mail:</font></b></td>

                        <td colspan=3D""3""><input type=3D""text"" =

name=3D""email"" size=3D""50""></td>

                      </tr>

                      <tr>=20

                        <td width=3D""15%"" align=3D""right""><b><font =

size=3D""2"">Phone:</font></b></td>

                        <td colspan=3D""3""><input type=3D""text"" =

name=3D""phone"" size=3D""50""></td>

                      </tr>

                      <tr>=20

                        <td width=3D""15%"" align=3D""right""><b><font =

size=3D""2"">City:</font></b></td>

                        <td width=3D""30%""><input type=3D""text"" =

name=3D""city"" size=3D""20""></td>

                        <td width=3D""15%"" align=3D""right""><b><font =

size=3D""2"">State:</font></b></td>

                        <td width=3D""20%""><input type=3D""text"" =

name=3D""state"" size=3D""2""></td>

                      </tr>

                      <tr>=20

                        <td width=3D""15%"" align=3D""right"">&nbsp;</td>

                        <td width=3D""30%"" colspan=3D'3'>=20

                          <input type=3D""submit"" name=3D""btnsubmit"" =

value=3D""Submit"">

                          <input type=3D""hidden"" =

name=3D""hdnRecipientTxt"" value=3D""rhock@pmgsecurities.com"">

                          <input type=3D""hidden"" name=3D""hdnSubjectTxt"" =

value=3D""PMG Dare Ad Inquiry"">

                        </td>

                      </tr>

                    </table>

                  </td>

                <input type=3D'hidden' name=3D'SentTo' value=3D'304704'>

</form>

              </tr>

            </table>

            <b><font size=3D""2""><img =

src=3D""http://iiq.us/images/pmg/20020822-4.gif"" alt=3D""PMG Financial =

Services"" width=3D""416"" height=3D""142"">=20

            </font></b></td>

        </tr>

        <tr>=20

          <td><font size=3D""1"">*5.40% for deposits of $100,000 and up, =

5.25% interest for deposits totalling $25,000-$99,999.</font></td>

        </tr>

      </table>

		</td>

  </tr>

  <tr>=20

